LC,LC-title,Element_no,P[kN],Shear_key
415,4044,Top slab- beam shear keys activa,15100008,-20.9,Shear_key22
416,4044,Top slab- beam shear keys activa,15100009,-15.0,Shear_key22
417,4044,Top slab- beam shear keys activa,15100010,15.7,Shear_key23
418,4044,Top slab- beam shear keys activa,15100011,19.9,Shear_key23
419,4044,Top slab- beam shear keys activa,15100012,14.1,Shear_key23
420,4044,Top slab- beam shear keys activa,20100001,13.0,Shear_key7
421,4044,Top slab- beam shear keys activa,20100002,15.5,Shear_key7
422,4044,Top slab- beam shear keys activa,20100003,9.9,Shear_key7
423,4044,Top slab- beam shear keys activa,20100004,-13.8,Shear_key8
424,4044,Top slab- beam shear keys activa,20100005,-17.1,Shear_key8
425,4044,Top slab- beam shear keys activa,20100006,-7.2,Shear_key8
426,4044,Top slab- beam shear keys activa,20100007,14.9,Shear_key5
427,4044,Top slab- beam shear keys activa,20100008,21.2,Shear_key5
428,4044,Top slab- beam shear keys activa,20100009,11.2,Shear_key5
429,4044,Top slab- beam shear keys activa,20100010,-11.9,Shear_key6
430,4044,Top slab- beam shear keys activa,20100011,-12.3,Shear_key6
431,4044,Top slab- beam shear keys activa,20100012,-6.3,Shear_key6
432,4045,Protection concrete,5100001,-83.7,Shear_key3
433,4045,Protection concrete,5100002,-139.2,Shear_key3
